City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,reggio calabria,38.3167,16.0833,279.97,93,59,1.89,IT,1733159899
299,nadym,65.5333,72.5167,256.86,87,15,5.24,RU,1733159862
300,tongliao,43.6125,122.2653,262.91,44,2,3.69,CN,1733159835
301,tyukhtet,56.5389,89.3011,263.95,86,96,5.38,RU,1733159903
302,chongwe,-15.3292,28.682,297.29,24,37,2.42,ZM,1733159904
303,perry,37.2506,-83.1999,272.52,55,100,2.26,US,1733159905
304,taltal,-25.4,-70.4833,292.97,66,43,4.26,CL,1733159776
305,the pas,53.8251,-101.2541,255.16,85,0,2.57,CA,1733159907
306,lubango,-14.9172,13.4925,294.82,59,62,3.3,AO,1733159867
307,morondava,-20.2833,44.2833,300.17,77,0,4.06,MG,1733159909
308,vyerkhnyadzvinsk,55.7815,27.9443,275.2,90,6,5.91,BY,1733159910
309,khairagarh,26.95,77.8167,291.36,38,0,1.41,IN,1733159912
310,kaa-khem,51.6833,94.7333,260.78,91,87,1.25,RU,1733159913
311,pointe-noire,-4.7761,11.8635,299.69,82,99,2.37,CG,1733159914
312,iwon-up,40.3231,128.6553,273.27,90,100,3.43,KP,1733159916
313,hirara,24.8,125.2833,295.07,68,20,5.66,JP,1733159917
314,jamestown,42.097,-79.2353,272.6,96,100,4.12,US,1733159918
315,broken hill,-31.95,141.4333,294.32,85,42,8.75,AU,1733159920
316,bechar,31.6167,-2.2167,294.33,26,0,1.54,DZ,1733159922
317,tromso,69.6496,18.957,272.16,59,75,5.66,NO,1733159731
318,new norfolk,-42.7826,147.0587,288.1,90,96,0.99,AU,1733159924
319,lavelanet,42.9313,1.8466,283.74,88,95,0.89,FR,1733159925
320,itamaraca,-7.7478,-34.8256,301.63,66,44,4.43,BR,1733159926
321,mugia,43.1041,-9.2179,286.88,74,88,4.65,ES,1733159928
322,malvan,16.0667,73.4667,300.39,76,55,3.97,IN,1733159929
